Month,County,Fatalities,Events
2015-10,Kisii,0.0,0.0
2015-10,Kisumu,1.0,4.0
2015-10,Kitui,0.0,0.0
2015-10,Kwale,0.0,0.0
2015-10,Laikipia,0.0,0.0
2015-10,Lamu,0.0,1.0
2015-10,Machakos,0.0,0.0
2015-10,Makueni,1.0,1.0
2015-10,Mandera,0.0,0.0
2015-10,Marsabit,0.0,0.0
2015-10,Meru,1.0,3.0
2015-10,Migori,0.0,0.0
2015-10,Mombasa,0.0,1.0
2015-10,Muranga,0.0,0.0
2015-10,Nairobi,1.0,4.0
2015-10,Nakuru,0.0,0.0
2015-10,Nandi,0.0,0.0
2015-10,Narok,0.0,0.0
2015-10,Nyamira,0.0,0.0
2015-10,Nyandarua,0.0,0.0
2015-10,Nyeri,0.0,0.0
2015-10,Samburu,0.0,0.0
2015-10,Siaya,0.0,2.0
2015-10,Taita Taveta,0.0,0.0
2015-10,Tana River,0.0,0.0
2015-10,Tharaka-Nithi,0.0,0.0
2015-10,Trans Nzoia,0.0,0.0
2015-10,Turkana,3.0,1.0
2015-10,Uasin Gishu,0.0,0.0
2015-10,Vihiga,0.0,0.0
2015-10,Wajir,0.0,0.0
2015-10,West Pokot,0.0,0.0
2015-11,Baringo,0.0,0.0
2015-11,Bomet,0.0,0.0
2015-11,Bungoma,0.0,0.0
2015-11,Busia,0.0,0.0
2015-11,Elgeyo Marakwet,0.0,0.0
2015-11,Embu,0.0,0.0
2015-11,Garissa,1.0,5.0
2015-11,Homa Bay,0.0,0.0
2015-11,Isiolo,0.0,0.0
2015-11,Kajiado,1.0,1.0
2015-11,Kakamega,0.0,0.0
2015-11,Kericho,0.0,0.0
2015-11,Kiambu,0.0,2.0
2015-11,Kilifi,0.0,1.0
2015-11,Kirinyaga,0.0,0.0
2015-11,Kisii,0.0,0.0
2015-11,Kisumu,0.0,0.0
2015-11,Kitui,0.0,0.0
2015-11,Kwale,0.0,0.0
2015-11,Laikipia,0.0,0.0
2015-11,Lamu,0.0,0.0
