County,geographic_unit_full_name,IPC,Month,in_Phase3+
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2012-04,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2012-07,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2012-10,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2013-01,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2013-04,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2013-07,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2013-10,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2014-01,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2014-04,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2014-07,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2014-10,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2015-01,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2015-04,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2015-07,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2015-10,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2016-02,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2011-07,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2011-10,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2012-01,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2012-04,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2012-07,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2012-10,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2013-01,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2013-04,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2013-07,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2013-10,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2014-01,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2014-04,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2014-07,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2014-10,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2015-01,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2015-04,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2015-07,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2015-10,0
Nyandarua,"Ol Joro Orok, Nyandarua, Central, Kenya",1.0,2016-02,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2011-07,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2011-10,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2012-01,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2012-04,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2012-07,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2012-10,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2013-01,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2013-04,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2013-07,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2013-10,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2014-01,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2014-04,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2014-07,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2014-10,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2015-01,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2015-04,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2015-07,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2015-10,0
Nyandarua,"Ol Kalou, Nyandarua, Central, Kenya",1.0,2016-02,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2011-07,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",3.0,2011-10,1
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2012-01,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2012-04,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2012-07,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2012-10,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2013-01,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2013-04,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2013-07,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2013-10,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2014-01,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2014-04,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2014-07,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2014-10,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2015-01,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2015-04,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2015-07,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",2.0,2015-10,0
Laikipia,"Olmoran, Laikipia, Rift Valley, Kenya",1.0,2016-02,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2011-07,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",2.0,2011-10,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",2.0,2012-01,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2012-04,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2012-07,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2012-10,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2013-01,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2013-04,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2013-07,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2013-10,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2014-01,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2014-04,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",2.0,2014-07,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2014-10,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2015-01,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2015-04,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2015-07,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2015-10,0
Narok,"Olokurto, Narok, Rift Valley, Kenya",1.0,2016-02,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",1.0,2011-07,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2011-10,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2012-01,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2012-04,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2012-07,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2012-10,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2013-01,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2013-04,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2013-07,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2013-10,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2014-01,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2014-04,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",2.0,2014-07,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",1.0,2014-10,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",1.0,2015-01,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",1.0,2015-04,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",1.0,2015-07,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",1.0,2015-10,0
Narok,"Ololunga, Narok, Rift Valley, Kenya",1.0,2016-02,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",3.0,2011-07,1
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",3.0,2011-10,1
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2012-01,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2012-04,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2012-07,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2012-10,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2013-01,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2013-04,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2013-07,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2013-10,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2014-01,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2014-04,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2014-07,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2014-10,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2015-01,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2015-04,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2015-07,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2015-10,0
Turkana,"Oropoi, Turkana, Rift Valley, Kenya",2.0,2016-02,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2011-07,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",3.0,2011-10,1
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2012-01,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2012-04,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2012-07,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2012-10,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2013-01,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2013-04,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2013-07,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2013-10,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2014-01,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2014-04,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2014-07,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2014-10,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",1.0,2015-01,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",1.0,2015-04,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",2.0,2015-07,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",1.0,2015-10,0
Narok,"Osupuko, Narok, Rift Valley, Kenya",1.0,2016-02,0
Nyeri,"Othaya, Nyeri, Central, Kenya",1.0,2011-07,0
Nyeri,"Othaya, Nyeri, Central, Kenya",1.0,2011-10,0
Nyeri,"Othaya, Nyeri, Central, Kenya",1.0,2012-01,0
Nyeri,"Othaya, Nyeri, Central, Kenya",1.0,2012-04,0
Nyeri,"Othaya, Nyeri, Central, Kenya",1.0,2012-07,0
